UniqueID,appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
0,304970,SolidFace Parametric CAD Modeler 2D/3D,game,449.99,12/22/2014  00:00:00,-1,0,0
1,278210,Vegas Pro 13 Edit - Steam Powered,game,399.99,11/02/2015 00:00,-1,0,0
2,335930,Atavism MMO Creator,game,399.00,1/20/2015 0:00,-1,0,0
3,352290,Rapture Pro,game,199.00,4/28/2015 0:00,-1,0,0
4,438450,3DF Zephyr Lite 2 Steam Edition,game,199.00,02/02/2016 00:00,-1,0,0
5,284680,Tremor,game,149.99,3/17/2015 0:00,-1,0,0
6,330160,Substance Designer 5 Indie,game,149.99,03/10/2015 00:00,-1,0,0
7,454510,Substance Painter 2,game,149.99,3/22/2016 0:00,-1,0,0
8,362750,Marmoset Toolbag 2,game,149.00,8/17/2015 0:00,-1,0,0
9,279280,Ohmicide,game,124.99,7/23/2014 0:00,-1,0,0
10,41050,Serious Sam Classic: The First Encounter,game,99.99,3/22/2010 0:00,87,0,1
11,41060,Serious Sam Classic: The Second Encounter,game,99.99,9/22/2010 0:00,85,0,1
12,41070,Serious Sam 3: BFE,game,99.99,11/22/2011 0:00,72,0,1
13,100980,3D-Coat V4,game,99.99,10/02/2012 00:00,-1,0,0
14,230780,articy:draft SE,game,99.99,2/27/2013 0:00,-1,0,0
15,241790,Z3TA+ 2,game,99.99,09/09/2013 00:00,-1,0,0
16,248170,Clickteam Fusion 2.5,game,99.99,12/05/2013 00:00,-1,0,1
17,251810,Leadwerks Game Engine,game,99.99,01/06/2014 00:00,-1,0,0
18,253670,Aartform Curvy 3D 3.0,game,99.99,11/12/2013 00:00,-1,0,0
19,255163,Call of Duty®: Ghosts - Digital Hardened Edition,game,99.99,11/04/2013 00:00,-1,17,1
20,281900,Indie Graphics Bundle - Royalty Free Sprites,game,99.99,05/06/2014 00:00,-1,0,0
21,325910,Bitmap2Material 3,game,99.99,9/30/2014 0:00,-1,0,0
22,338600,CyberLink PowerDVD 15 Ultra,game,99.99,7/22/2015 0:00,-1,0,0
23,364970,CopperCube 5 Game Engine,game,99.99,05/01/2015 00:00,-1,0,0
24,373890,Web Designer 11 Premium,game,99.99,7/27/2015 0:00,-1,0,0
25,386550,MAGIX Music Maker 2016 Live,game,99.99,10/19/2015 0:00,-1,0,0
26,399610,MAGIX Movie Edit Pro 2016 Plus,game,99.99,9/24/2015 0:00,-1,0,0
27,417390,MAGIX Samplitude Music Studio 2016,game,99.99,11/19/2015 0:00,-1,0,0
28,420630,MAGIX Music Maker 2016 Premium,game,99.99,12/11/2015 00:00,-1,0,0
29,435740,CyberLink AudioDirector 6,game,99.99,4/28/2016 0:00,-1,0,0
30,435750,CyberLink ColorDirector 4,game,99.99,05/04/2016 00:00,-1,0,0
31,438840,CyberLink PowerDirector 14 Ultimate,game,99.99,04/01/2016 00:00,-1,0,0
32,363150,ROMANCE OF THE THREE KINGDOMS 13 / ???13,game,89.99,1/27/2016 0:00,-1,0,0
33,418200,MAGIX Photostory 2016 Deluxe,game,89.99,04/12/2016 00:00,-1,0,0
34,100400,Silo 2,game,79.99,12/19/2012 0:00,-1,0,0
35,244830,Wing IDE 5,game,79.99,4/30/2014 0:00,-1,0,0
36,321410,Command: Modern Air / Naval Operations WOTY,game,79.99,9/26/2014 0:00,-1,0,0
37,325180,App Game Kit: Easy + Instant Game Development,game,79.99,11/21/2014 0:00,-1,0,0
38,325330,Muvee Reveal 11,game,79.99,04/10/2015 00:00,-1,0,0
39,363890,RPG Maker MV,game,79.99,10/23/2015 0:00,-1,0,0
40,370540,Gary Grigsby's War in the East,game,79.99,07/09/2015 00:00,-1,0,1
41,405470,Audials One Suite 2016,game,79.99,10/23/2015 0:00,-1,0,0
42,220700,RPG Maker VX Ace,game,69.99,12/10/2012 00:00,-1,0,0
43,314730,WorldCreator,game,69.99,10/20/2014 0:00,-1,0,0
44,330130,MAGIX Fastcut,game,69.99,12/04/2014 00:00,-1,0,0
45,341960,DP Animation Maker,game,69.99,2/16/2015 0:00,-1,0,0
46,347400,GG Maker,game,69.99,7/13/2015 0:00,-1,0,0
47,355030,CyberLink PowerDirector 14 Ultra,game,69.99,11/19/2015 0:00,-1,0,0
48,415140,PD Howler 10,game,69.99,05/06/2016 00:00,-1,0,0
49,425550,CyberLink PhotoDirector 7 Ultra,game,69.99,12/15/2015 0:00,-1,0,0
50,363020,IPackThat,game,64.99,10/06/2015 00:00,-1,0,0
